sample_name,BioSample,rnai,Assay.Type,LibraryLayout,LibrarySource,LibrarySelection,Strain,Instrument,Experiment,Run,Sample.Name
MED7_SRR3487979,SAMN04960060,MED7,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749981,SRR3487979,GSM2146242
Rtf1_SRR3487980,SAMN04959976,Rtf1,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749982,SRR3487980,GSM2146243
E[var]3-9_SRR3487981,SAMN04959977,E[var]3-9,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749983,SRR3487981,GSM2146244
Kdm4A_SRR3487982,SAMN04959978,Kdm4A,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749984,SRR3487982,GSM2146245
HP1b_SRR3487983,SAMN04959979,HP1b,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749985,SRR3487983,GSM2146246
CG17912_SRR3487984,SAMN04959980,CG17912,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749986,SRR3487984,GSM2146247
dalao_SRR3487985,SAMN04959981,dalao,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749987,SRR3487985,GSM2146248
CG3065_SRR3487986,SAMN04959982,CG3065,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749988,SRR3487986,GSM2146249
Atf3_SRR3487987,SAMN04959983,Atf3,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749989,SRR3487987,GSM2146250
BtbVII_SRR3487988,SAMN04959984,BtbVII,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749990,SRR3487988,GSM2146251
CG9727_SRR3487989,SAMN04959985,CG9727,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749991,SRR3487989,GSM2146252
pnt_SRR3487990,SAMN04959986,pnt,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749992,SRR3487990,GSM2146253
CG2051_SRR3487991,SAMN04959987,CG2051,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749993,SRR3487991,GSM2146254
CG17361_SRR3487992,SAMN04959988,CG17361,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749994,SRR3487992,GSM2146255
tna_SRR3487993,SAMN04959989,tna,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749995,SRR3487993,GSM2146256
CG2678_SRR3487994,SAMN04959990,CG2678,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749996,SRR3487994,GSM2146257
tgo_SRR3487995,SAMN04959991,tgo,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749997,SRR3487995,GSM2146258
HmgD_SRR3487996,SAMN04959992,HmgD,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749998,SRR3487996,GSM2146259
mamo_SRR3487997,SAMN04959993,mamo,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1749999,SRR3487997,GSM2146260
abo_SRR3487998,SAMN04959994,abo,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750000,SRR3487998,GSM2146261
Camta_SRR3487999,SAMN04959995,Camta,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750001,SRR3487999,GSM2146262
Alh_SRR3488000,SAMN04959996,Alh,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750002,SRR3488000,GSM2146263
CG10959_SRR3488001,SAMN04959997,CG10959,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750003,SRR3488001,GSM2146264
pan_SRR3488002,SAMN04959998,pan,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750004,SRR3488002,GSM2146265
CG17829_SRR3488003,SAMN04959999,CG17829,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750005,SRR3488003,GSM2146266
Meics_SRR3488004,SAMN04960000,Meics,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750006,SRR3488004,GSM2146267
CG7372_SRR3488005,SAMN04960001,CG7372,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750007,SRR3488005,GSM2146268
Clamp_SRR3488006,SAMN04960002,Clamp,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750008,SRR3488006,GSM2146269
Ssrp_SRR3488007,SAMN04960003,Ssrp,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750009,SRR3488007,GSM2146270
CG1529_SRR3488008,SAMN04960004,CG1529,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750010,SRR3488008,GSM2146271
MED30_SRR3488009,SAMN04959946,MED30,RNA-Seq,SINGLE,TRANSCRIPTOMIC,cDNA,S2R+,Illumina HiSeq 2500,SRX1750011,SRR3488009,GSM2146272
