sample_name,rnai
Xrp1_SRR3488376,Xrp1
Bgb_SRR3488377,Bgb
CG14962_SRR3488378,CG14962
Ets21C_SRR3488379,Ets21C
MED15_SRR3488380,MED15
mle_SRR3488381,mle
p53_SRR3488382,p53
Rfx_SRR3488383,Rfx
Smox_SRR3488384,Smox
yps_SRR3488385,yps
ssp_SRR3488386,ssp
TFAM_SRR3488387,TFAM
CG13624_SRR3488388,CG13624
Xrp1_SRR3488389,Xrp1
G9a_SRR3488390,G9a
Lpt_SRR3488391,Lpt
MED17_SRR3488392,MED17
fd68A_SRR3488393,fd68A
Pcl_SRR3488394,Pcl
rhi_SRR3488395,rhi
Spt6_SRR3488396,Spt6
zf30C_SRR3488397,zf30C
CG7839_SRR3488398,CG7839
NfI_SRR3488399,NfI
CG17912_SRR3488400,CG17912
E[z]_SRR3488401,E[z]
CG4617_SRR3488402,CG4617
brm_SRR3488403,brm
MED18_SRR3488404,MED18
MRG15_SRR3488405,MRG15
pfk_SRR3488406,pfk
rno_SRR3488407,rno
stwl_SRR3488408,stwl
Sox14_SRR3488409,Sox14
E[z]_SRR3488410,E[z]
Thd1_SRR3488411,Thd1
HmgD_SRR3488412,HmgD
Su[var]2-HP2_SRR3488413,Su[var]2-HP2
CG7839_SRR3488414,CG7839
Arc42_SRR3488415,Arc42
MED24_SRR3488416,MED24
msl-3_SRR3488417,msl-3
LacZ_SRR3488418,LacZ
Rpd3_SRR3488419,Rpd3
Su[H]_SRR3488420,Su[H]
row_SRR3488421,row
Cenp-C_SRR3488422,Cenp-C
mxc_SRR3488423,mxc
CG8765_SRR3488424,CG8765
ATbp_SRR3488425,ATbp
NfI_SRR3488426,NfI
Hnf4_SRR3488427,Hnf4
MED6_SRR3488428,MED6
MTA1-like_SRR3488429,MTA1-like
psq_SRR3488430,psq
Scm_SRR3488431,Scm
Su[var]3-7_SRR3488432,Su[var]3-7
row_SRR3488433,row
CG33213_SRR3488434,CG33213
G9a_SRR3488435,G9a
TFAM_SRR3488436,TFAM
Cenp-C_SRR3488437,Cenp-C
chm_SRR3488438,chm
pho_SRR3488439,pho
MED8_SRR3488440,MED8
Myb_SRR3488441,Myb
Pur-alpha_SRR3488442,Pur-alpha
sd_SRR3488443,sd
Taf6_SRR3488444,Taf6
Bgb_SRR3488445,Bgb
CG13624_SRR3488446,CG13624
CG8765_SRR3488447,CG8765
CG11560_SRR3488448,CG11560
Sox14_SRR3488449,Sox14
ATbp_SRR3488450,ATbp
ecd_SRR3488451,ecd
MBD-R2_SRR3488452,MBD-R2
Mes-4_SRR3488453,Mes-4
net_SRR3488454,net
Ravus_SRR3488455,Ravus
Sin3A_SRR3488456,Sin3A
trx_SRR3488457,trx
CG14962_SRR3488458,CG14962
CG17186_SRR3488459,CG17186
CG4617_SRR3488460,CG4617
CG10949_SRR3488461,CG10949
mxc_SRR3488462,mxc
CG6276_SRR3488463,CG6276
mbf1_SRR3488464,mbf1
MESR4_SRR3488465,MESR4
osa_SRR3488466,osa
Rel_SRR3488467,Rel
skd_SRR3488468,skd
tsh_SRR3488469,tsh
CG11560_SRR3488470,CG11560
Xrp1_SRR3488471,Xrp1
Bgb_SRR3488472,Bgb
CG14962_SRR3488473,CG14962
Ets21C_SRR3488474,Ets21C
MED15_SRR3488475,MED15
mle_SRR3488476,mle
p53_SRR3488477,p53
Rfx_SRR3488478,Rfx
Smox_SRR3488479,Smox
yps_SRR3488480,yps
ssp_SRR3488481,ssp
TFAM_SRR3488482,TFAM
CG13624_SRR3488483,CG13624
Xrp1_SRR3488484,Xrp1
G9a_SRR3488485,G9a
Lpt_SRR3488486,Lpt
MED17_SRR3488487,MED17
fd68A_SRR3488488,fd68A
Pcl_SRR3488489,Pcl
rhi_SRR3488490,rhi
Spt6_SRR3488491,Spt6
zf30C_SRR3488492,zf30C
CG7839_SRR3488493,CG7839
NfI_SRR3488494,NfI
CG17912_SRR3488495,CG17912
E[z]_SRR3488496,E[z]
CG4617_SRR3488497,CG4617
brm_SRR3488498,brm
MED18_SRR3488499,MED18
MRG15_SRR3488500,MRG15
pfk_SRR3488501,pfk
rno_SRR3488502,rno
stwl_SRR3488503,stwl
Sox14_SRR3488504,Sox14
E[z]_SRR3488505,E[z]
Thd1_SRR3488506,Thd1
HmgD_SRR3488507,HmgD
Su[var]2-HP2_SRR3488508,Su[var]2-HP2
CG7839_SRR3488509,CG7839
Arc42_SRR3488510,Arc42
MED24_SRR3488511,MED24
msl-3_SRR3488512,msl-3
LacZ_SRR3488513,LacZ
Rpd3_SRR3488514,Rpd3
Su[H]_SRR3488515,Su[H]
row_SRR3488516,row
Cenp-C_SRR3488517,Cenp-C
mxc_SRR3488518,mxc
CG8765_SRR3488519,CG8765
ATbp_SRR3488520,ATbp
NfI_SRR3488521,NfI
Hnf4_SRR3488522,Hnf4
MED6_SRR3488523,MED6
MTA1-like_SRR3488524,MTA1-like
psq_SRR3488525,psq
Scm_SRR3488526,Scm
Su[var]3-7_SRR3488527,Su[var]3-7
row_SRR3488528,row
CG33213_SRR3488529,CG33213
G9a_SRR3488530,G9a
TFAM_SRR3488531,TFAM
Cenp-C_SRR3488532,Cenp-C
chm_SRR3488533,chm
pho_SRR3488534,pho
MED8_SRR3488535,MED8
Myb_SRR3488536,Myb
Pur-alpha_SRR3488537,Pur-alpha
sd_SRR3488538,sd
Taf6_SRR3488539,Taf6
Bgb_SRR3488540,Bgb
CG13624_SRR3488541,CG13624
CG8765_SRR3488542,CG8765
CG11560_SRR3488543,CG11560
MED1_SRR3486645,MED1
CG18619_SRR3486646,CG18619
CG12054_SRR3486647,CG12054
Pc_SRR3486648,Pc
apt_SRR3486649,apt
CG42724_SRR3486652,CG42724
Ets21C_SRR3486654,Ets21C
CG17186_SRR3486655,CG17186
CG18011_SRR3486656,CG18011
CG33213_SRR3486658,CG33213
egg_SRR3486659,egg
CG31612_SRR3486660,CG31612
CG1603_SRR3486667,CG1603
ct_SRR3486669,ct
ix_SRR3486671,ix
Thd1_SRR3486673,Thd1
tai_SRR3486675,tai
MED31_SRR3486677,MED31
egg_SRR3486679,egg
