sample_name,rnai
HGTX_SRR3487512,HGTX
CG7963_SRR3487514,CG7963
dys_SRR3487517,dys
Ets96B_SRR3487518,Ets96B
CG8145_SRR3487525,CG8145
ranshi_SRR3487526,ranshi
MBD-like_SRR3487527,MBD-like
CG17802_SRR3487528,CG17802
E2f1_SRR3487529,E2f1
pho_SRR3487530,pho
CG8159_SRR3487537,CG8159
jumu_SRR3487538,jumu
pad_SRR3487539,pad
CG43343_SRR3487540,CG43343
btn_SRR3487541,btn
CG10669_SRR3487551,CG10669
CG18262_SRR3487554,CG18262
MED18_SRR3487555,MED18
Hmr_SRR3487556,Hmr
CG31224_SRR3487559,CG31224
Hr51_SRR3487560,Hr51
CG8319_SRR3487561,CG8319
Rfx_SRR3487562,Rfx
LacZ_SRR3487563,LacZ
cnc_SRR3487564,cnc
mip130_SRR3487567,mip130
CG2889_SRR3487568,CG2889
MED26_SRR3487571,MED26
CG7101_SRR3487572,CG7101
dys_SRR3487575,dys
CG3032_SRR3487578,CG3032
mamo_SRR3487580,mamo
CG3847_SRR3487583,CG3847
Rpb10_SRR3487587,Rpb10
CG4557_SRR3487590,CG4557
Pcl_SRR3487594,Pcl
Pdp1_SRR3487597,Pdp1
psq_SRR3487598,psq
vri_SRR3487600,vri
emc_SRR3487601,emc
CG32772_SRR3487602,CG32772
achi_SRR3487604,achi
fru_SRR3487606,fru
ix_SRR3487607,ix
CG1965_SRR3487611,CG1965
wda_SRR3487614,wda
YL-1_SRR3487615,YL-1
chm_SRR3487616,chm
Eip74EF_SRR3487617,Eip74EF
NC2beta_SRR3487618,NC2beta
usp_SRR3487619,usp
CG8924_SRR3487620,CG8924
Nf-YC_SRR3487621,Nf-YC
CG11247_SRR3487622,CG11247
Mrtf_SRR3487623,Mrtf
h_SRR3487624,h
Nipped-A_SRR3487625,Nipped-A
EloA_SRR3487626,EloA
BtbVII_SRR3487627,BtbVII
TfIIS_SRR3487631,TfIIS
brk_SRR3487632,brk
chinmo_SRR3487637,chinmo
bl_SRR3487638,bl
ct_SRR3487639,ct
phol_SRR3487640,phol
luna_SRR3487641,luna
Mef2_SRR3487642,Mef2
MED30_SRR3487646,MED30
CG9418_SRR3487651,CG9418
mof_SRR3487652,mof
NK7.1_SRR3487653,NK7.1
MED31_SRR3487654,MED31
Sry-delta_SRR3487655,Sry-delta
peb_SRR3487656,peb
Xbp1_SRR3487657,Xbp1
LacZ_SRR3487658,LacZ
Spps_SRR3487659,Spps
tef_SRR3487660,tef
Asx_SRR3487661,Asx
D19B_SRR3487663,D19B
Sry-beta_SRR3487664,Sry-beta
bs_SRR3487668,bs
CG42724_SRR3487672,CG42724
MED15_SRR3487673,MED15
CG8319_SRR3487674,CG8319
MED23_SRR3487676,MED23
CG11294_SRR3487679,CG11294
tna_SRR3487683,tna
CoRest_SRR3487684,CoRest
Chd3_SRR3487685,Chd3
CG10274_SRR3487686,CG10274
NFAT_SRR3487688,NFAT
Pcl_SRR3487689,Pcl
Rbf_SRR3487690,Rbf
Usf_SRR3487691,Usf
Pdp1_SRR3487692,Pdp1
psq_SRR3487693,psq
Bap170_SRR3487694,Bap170
vri_SRR3487695,vri
emc_SRR3487696,emc
CG32772_SRR3487697,CG32772
CG8944_SRR3487698,CG8944
achi_SRR3487699,achi
MTA1-like_SRR3487700,MTA1-like
fru_SRR3487701,fru
ix_SRR3487702,ix
stwl_SRR3487703,stwl
Atf3_SRR3487704,Atf3
CG10543_SRR3487705,CG10543
CG1965_SRR3487706,CG1965
ph-d_SRR3487707,ph-d
E[var]3-9_SRR3487708,E[var]3-9
wda_SRR3487709,wda
YL-1_SRR3487710,YL-1
NC2beta_SRR3487713,NC2beta
Mrtf_SRR3487718,Mrtf
h_SRR3487719,h
pnr_SRR3487725,pnr
Tbp_SRR3487728,Tbp
Nf-YA_SRR3487729,Nf-YA
apt_SRR3487731,apt
bl_SRR3487733,bl
ct_SRR3487734,ct
phol_SRR3487735,phol
Eip75B_SRR3487739,Eip75B
MED30_SRR3487741,MED30
trr_SRR3487743,trr
dm_SRR3487744,dm
Blimp-1_SRR3487745,Blimp-1
CG9418_SRR3487746,CG9418
MED31_SRR3487749,MED31
Sry-delta_SRR3487750,Sry-delta
Spps_SRR3487754,Spps
CG4730_SRR3487757,CG4730
ftz-f1_SRR3487760,ftz-f1
Smox_SRR3487761,Smox
bs_SRR3487763,bs
Clamp_SRR3487764,Clamp
hang_SRR3487766,hang
CG8319_SRR3487769,CG8319
Lmpt_SRR3487772,Lmpt
Lmpt_SRR3487776,Lmpt
E[spl]m3-HLH_SRR3487777,E[spl]m3-HLH
Chd3_SRR3487780,Chd3
CG10274_SRR3487781,CG10274
NFAT_SRR3487783,NFAT
cg_SRR3487786,cg
Taf4_SRR3487788,Taf4
CG10366_SRR3487790,CG10366
zfh1_SRR3487792,zfh1
CG8159_SRR3487794,CG8159
lola_SRR3487795,lola
CG17612_SRR3487797,CG17612
Spt3_SRR3487799,Spt3
vri_SRR3487801,vri
btn_SRR3487802,btn
Gcn5_SRR3487804,Gcn5
CG4854_SRR3487806,CG4854
CG6276_SRR3487807,CG6276
CG3281_SRR3487808,CG3281
CG1792_SRR3487809,CG1792
MED11_SRR3487811,MED11
CG1233_SRR3487812,CG1233
CG9609_SRR3487815,CG9609
bigmax_SRR3487817,bigmax
Hr78_SRR3487818,Hr78
CG14667_SRR3487819,CG14667
Dsp1_SRR3487821,Dsp1
Deaf1_SRR3487823,Deaf1
d4_SRR3487825,d4
D19A_SRR3487827,D19A
CG13204_SRR3487830,CG13204
trr_SRR3487833,trr
CG12942_SRR3487835,CG12942
MED16_SRR3487837,MED16
brk_SRR3487840,brk
Ssb-c31a_SRR3487842,Ssb-c31a
sba_SRR3487846,sba
LacZ_SRR3487848,LacZ
Nurf-38_SRR3487850,Nurf-38
Ets97D_SRR3487853,Ets97D
CG1663_SRR3487855,CG1663
E[spl]m3-HLH_SRR3487856,E[spl]m3-HLH
aop_SRR3487858,aop
CG12299_SRR3487861,CG12299
Hnf4_SRR3487862,Hnf4
grau_SRR3487864,grau
Hsf_SRR3487865,Hsf
CG1529_SRR3487866,CG1529
Su[var]2-10_SRR3487867,Su[var]2-10
dalao_SRR3487869,dalao
Iswi_SRR3487871,Iswi
CG12219_SRR3487873,CG12219
CG15073_SRR3487875,CG15073
DIP1_SRR3487876,DIP1
Xpd_SRR3487877,Xpd
Cf2_SRR3487879,Cf2
cg_SRR3487881,cg
